City,RegionID,StateName,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31
Boise City,394399,ID,219782.0,221777.0,223092.0,225648.0,227315.0,231663.0,236663.0,241663.0,241697.0,242609.0,239875.0,243145.0,246900.0,252383.0,259050.0,261050.0,265950.0,270950.0,278950.0,284050.0,282083.0,280717.0,279382.0,278382.0,277248.0,279133.0,281433.0,287997.0,293513.0,301547.0,304450.0,305633.0,304133.0,303363.0,306363.0,306530.0,312333.0,314300.0,321967.0,323633.0,326898.0,331562.0,339895.0,351663.0,361633.0,369933.0,375503.0,382701.0,391068.0,402165.0,418315.0,434978.0,451645.0,463330.0,472333.0,477333.0
Toledo,395160,OH,113304.0,112471.0,109250.0,111250.0,117917.0,126300.0,129600.0,128600.0,124633.0,120667.0,115000.0,113228.0,108228.0,107228.0,108333.0,114483.0,121150.0,126150.0,130667.0,130833.0,132500.0,125800.0,123300.0,116933.0,114967.0,114967.0,118000.0,122567.0,128400.0,130067.0,134150.0,132400.0,137400.0,134050.0,133800.0,128800.0,127333.0,126833.0,127733.0,133067.0,138067.0,139383.0,142217.0,138883.0,142317.0,140650.0,143317.0,144167.0,145500.0,141133.0,140717.0,141383.0,145417.0,147000.0,151667.0,157667.0
Madison,394816,WI,228167.0,228533.0,231867.0,240700.0,243000.0,249667.0,250667.0,257500.0,252841.0,252158.0,247158.0,243787.0,244970.0,244120.0,252150.0,251700.0,257383.0,262350.0,269967.0,270633.0,263167.0,258833.0,255833.0,258333.0,260667.0,259667.0,259633.0,260383.0,268217.0,277667.0,279583.0,279558.0,271808.0,268974.0,269333.0,269333.0,270000.0,269500.0,272167.0,282633.0,288382.0,297349.0,294716.0,296633.0,294833.0,295833.0,296833.0,297000.0,297000.0,292333.0,302333.0,312333.0,327000.0,332000.0,338667.0,341000.0
Lakeland,394766,FL,169883.0,167600.0,167133.0,167467.0,170583.0,175083.0,178000.0,179250.0,178583.0,179000.0,180000.0,181667.0,184650.0,186317.0,186317.0,185000.0,185967.0,188633.0,190297.0,193997.0,194897.0,196719.0,196216.0,197983.0,199463.0,199783.0,199450.0,200366.0,202546.0,205879.0,208297.0,209967.0,210967.0,212667.0,215333.0,215997.0,215997.0,214497.0,214432.0,214432.0,214098.0,214833.0,219000.0,222800.0,225467.0,226378.0,228412.0,231412.0,232333.0,233667.0,235667.0,239000.0,244333.0,250997.0,258313.0,264980.0
Ogden,394931,UT,222742.0,223442.0,224108.0,226000.0,230800.0,238683.0,246150.0,249450.0,247233.0,244267.0,241000.0,243333.0,244617.0,246283.0,248283.0,252667.0,259333.0,266483.0,271150.0,272808.0,269908.0,269208.0,270883.0,271633.0,267600.0,267850.0,267817.0,275217.0,279950.0,289150.0,292817.0,294533.0,291742.0,294708.0,294675.0,296967.0,293667.0,295333.0,296788.0,305788.0,314121.0,319133.0,326133.0,331800.0,340667.0,339667.0,341083.0,341417.0,343833.0,342500.0,349833.0,365750.0,388333.0,405667.0,415833.0,420497.0
Daytona Beach,394528,FL,174667.0,173000.0,174667.0,178333.0,181633.0,185633.0,188967.0,192233.0,192733.0,193067.0,192133.0,193300.0,192633.0,195333.0,195333.0,200667.0,201667.0,205000.0,205000.0,208167.0,210833.0,211800.0,212633.0,213967.0,215667.0,216333.0,215057.0,215723.0,218057.0,223000.0,226333.0,225667.0,225333.0,225663.0,227327.0,227627.0,227297.0,226633.0,227333.0,227333.0,228333.0,230167.0,236167.0,240783.0,243283.0,243950.0,246333.0,249000.0,251500.0,255100.0,259100.0,265930.0,269297.0,274297.0,279133.0,285800.0
Des Moines,394531,IA,181667.0,179333.0,177867.0,178533.0,185200.0,193000.0,196333.0,197000.0,194000.0,197000.0,195333.0,197000.0,192333.0,195333.0,195300.0,198633.0,199300.0,206000.0,209333.0,210667.0,208333.0,204583.0,203917.0,199400.0,199483.0,195150.0,202000.0,207333.0,213333.0,217333.0,218417.0,223417.0,219750.0,217750.0,215771.0,217431.0,216681.0,210327.0,209250.0,214250.0,222583.0,226667.0,228500.0,234167.0,234167.0,236333.0,234000.0,237917.0,238190.0,236405.0,234155.0,237882.0,243000.0,249667.0,252878.0,259045.0
Provo,395006,UT,258300.0,261633.0,262550.0,266584.0,269917.0,272460.0,274960.0,275432.0,276970.0,277470.0,278665.0,279333.0,279000.0,285667.0,288333.0,293333.0,295100.0,301433.0,307267.0,307167.0,306767.0,304267.0,304933.0,307333.0,306792.0,307292.0,306292.0,310500.0,316000.0,322525.0,325275.0,326788.0,327930.0,331512.0,332330.0,333997.0,332332.0,335000.0,336667.0,343333.0,341333.0,348000.0,350667.0,362667.0,366167.0,370167.0,373000.0,380065.0,386565.0,392065.0,399833.0,418333.0,435000.0,450208.0,456592.0,463258.0
Durham,394549,NC,237667.0,240750.0,238583.0,244733.0,247317.0,256983.0,262667.0,265000.0,259167.0,258333.0,262167.0,268500.0,263500.0,261333.0,263667.0,270917.0,274250.0,275583.0,276667.0,278333.0,275333.0,275333.0,277000.0,286667.0,283333.0,281333.0,276667.0,284250.0,287917.0,289917.0,290333.0,287167.0,285205.0,284538.0,291705.0,296333.0,297333.0,293833.0,300667.0,306000.0,308167.0,303333.0,301333.0,308667.0,308417.0,310142.0,307808.0,310730.0,308005.0,303505.0,311333.0,326667.0,347500.0,361152.0,373486.0,377474.0
Fort Collins,394602,CO,342650.0,345783.0,345783.0,347633.0,348333.0,351650.0,354983.0,355845.0,350331.0,353138.0,355776.0,362973.0,366617.0,369783.0,376142.0,377108.0,383775.0,384896.0,385812.0,381962.0,381517.0,381517.0,385367.0,384250.0,386900.0,385233.0,388967.0,388133.0,393133.0,395225.0,396708.0,395042.0,391633.0,389167.0,385833.0,386667.0,391500.0,394167.0,394216.0,395106.0,397439.0,400296.0,401141.0,409151.0,420412.0,429343.0,425500.0,415469.0,415036.0,421026.0,433057.0,435306.0,448134.0,454134.0,470985.0,476333.0
