RegionName,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021
"New Haven, CT","$219,500.00 ","$212,833.00 ","$211,500.00 ","$217,000.00 ","$230,333.00 ","$238,333.00 ","$248,333.00 ","$251,667.00 ","$258,333.00 ","$258,000.00 ","$261,333.00 ","$258,667.00 ","$254,000.00 ","$249,000.00 ","$250,000.00 ","$255,500.00 ","$268,833.00 ","$280,500.00 ","$290,667.00 ","$290,667.00 "
"Bakersfield, CA","$249,167.00 ","$249,150.00 ","$249,983.00 ","$255,817.00 ","$257,500.00 ","$261,667.00 ","$263,333.00 ","$267,333.00 ","$269,000.00 ","$272,833.00 ","$275,833.00 ","$277,500.00 ","$278,667.00 ","$275,500.00 ","$281,500.00 ","$283,833.00 ","$293,333.00 ","$295,667.00 ","$303,333.00 ","$306,417.00 "
"Knoxville, TN","$214,883.00 ","$212,579.00 ","$215,745.00 ","$221,946.00 ","$226,250.00 ","$227,417.00 ","$231,667.00 ","$235,000.00 ","$238,300.00 ","$238,300.00 ","$238,300.00 ","$237,733.00 ","$236,733.00 ","$235,650.00 ","$237,917.00 ","$242,250.00 ","$248,333.00 ","$255,000.00 ","$263,333.00 ","$271,667.00 "
"Greenville, SC","$206,619.00 ","$206,350.00 ","$211,383.00 ","$219,917.00 ","$226,383.00 ","$227,383.00 ","$228,882.00 ","$231,332.00 ","$232,998.00 ","$235,833.00 ","$235,667.00 ","$237,667.00 ","$235,433.00 ","$233,767.00 ","$233,100.00 ","$236,894.00 ","$244,477.00 ","$252,144.00 ","$257,583.00 ","$261,333.00 "
"Ventura, CA","$601,500.00 ","$602,167.00 ","$607,000.00 ","$608,167.00 ","$611,167.00 ","$621,083.00 ","$631,417.00 ","$648,417.00 ","$666,833.00 ","$676,333.00 ","$685,667.00 ","$679,000.00 ","$684,667.00 ","$681,417.00 ","$691,417.00 ","$710,083.00 ","$729,583.00 ","$754,583.00 ","$756,333.00 ","$765,833.00 "
"Allentown, PA","$195,333.00 ","$195,000.00 ","$199,167.00 ","$209,167.00 ","$215,833.00 ","$220,000.00 ","$223,417.00 ","$228,083.00 ","$229,717.00 ","$233,800.00 ","$235,767.00 ","$236,633.00 ","$232,467.00 ","$227,500.00 ","$226,667.00 ","$228,333.00 ","$235,000.00 ","$245,000.00 ","$257,000.00 ","$262,000.00 "
"El Paso, TX","$167,717.00 ","$166,617.00 ","$166,633.00 ","$166,650.00 ","$168,000.00 ","$170,000.00 ","$174,983.00 ","$179,317.00 ","$182,892.00 ","$183,242.00 ","$182,208.00 ","$180,950.00 ","$181,433.00 ","$183,133.00 ","$183,483.00 ","$185,333.00 ","$188,667.00 ","$192,833.00 ","$198,167.00 ","$201,500.00 "
"Baton Rouge, LA","$212,053.00 ","$210,887.00 ","$211,013.00 ","$215,047.00 ","$217,197.00 ","$217,617.00 ","$217,950.00 ","$221,967.00 ","$223,667.00 ","$226,633.00 ","$229,267.00 ","$228,600.00 ","$226,337.00 ","$223,704.00 ","$225,704.00 ","$229,667.00 ","$233,000.00 ","$236,167.00 ","$237,833.00 ","$241,133.00 "
"Dayton, OH","$138,550.00 ","$137,117.00 ","$141,500.00 ","$150,833.00 ","$156,500.00 ","$158,983.00 ","$162,317.00 ","$166,650.00 ","$166,833.00 ","$165,167.00 ","$160,167.00 ","$160,000.00 ","$159,083.00 ","$156,826.00 ","$154,909.00 ","$158,159.00 ","$166,417.00 ","$173,333.00 ","$177,667.00 ","$178,333.00 "
"McAllen, TX","$154,498.00 ","$156,482.00 ","$157,648.00 ","$160,317.00 ","$163,000.00 ","$165,167.00 ","$168,667.00 ","$170,000.00 ","$171,833.00 ","$169,333.00 ","$171,583.00 ","$174,917.00 ","$178,917.00 ","$178,000.00 ","$177,167.00 ","$180,500.00 ","$182,483.00 ","$186,733.00 ","$191,567.00 ","$192,583.00 "
