RegionName,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019
"McAllen, TX","$130,333.00 ","$131,070.00 ","$134,736.00 ","$140,528.00 ","$136,992.00 ","$135,325.00 ","$133,867.00 ","$135,500.00 ","$140,167.00 ","$142,250.00 ","$140,917.00 ","$141,217.00 ","$141,133.00 ","$144,133.00 ","$141,833.00 ","$141,667.00 ","$142,833.00 ","$143,167.00 ","$145,667.00 ","$145,000.00 ","$145,500.00 ","$143,400.00 ","$142,467.00 ","$141,267.00 ","$142,367.00 ","$143,300.00 ","$148,417.00 ","$148,167.00 ","$150,500.00 ","$152,417.00 ","$155,667.00 ","$157,317.00 ","$152,650.00 ","$153,283.00 ","$153,300.00 ","$157,133.00 "
"Columbia, SC","$157,817.00 ","$156,125.00 ","$156,292.00 ","$159,958.00 ","$163,833.00 ","$165,934.00 ","$166,783.00 ","$168,437.00 ","$169,466.00 ","$168,184.00 ","$166,497.00 ","$165,167.00 ","$165,263.00 ","$166,297.00 ","$167,330.00 ","$169,000.00 ","$171,056.00 ","$174,056.00 ","$175,723.00 ","$175,083.00 ","$175,438.00 ","$175,105.00 ","$175,851.00 ","$175,160.00 ","$174,493.00 ","$175,343.00 ","$176,097.00 ","$179,430.00 ","$183,500.00 ","$187,157.00 ","$191,081.00 ","$188,831.00 ","$185,757.00 ","$181,250.00 ","$182,717.00 ","$185,132.00 "
"Greensboro, NC","$142,583.00 ","$140,750.00 ","$144,583.00 ","$144,833.00 ","$146,000.00 ","$146,667.00 ","$152,500.00 ","$156,417.00 ","$156,833.00 ","$152,333.00 ","$152,083.00 ","$154,500.00 ","$152,167.00 ","$149,167.00 ","$148,667.00 ","$153,667.00 ","$157,167.00 ","$160,583.00 ","$163,950.00 ","$164,450.00 ","$162,367.00 ","$158,167.00 ","$161,500.00 ","$157,500.00 ","$156,333.00 ","$153,000.00 ","$154,330.00 ","$162,997.00 ","$165,997.00 ","$173,000.00 ","$172,667.00 ","$171,000.00 ","$166,830.00 ","$165,497.00 ","$165,830.00 ","$165,000.00 "
"Akron, OH","$128,650.00 ","$123,808.00 ","$126,641.00 ","$131,825.00 ","$140,833.00 ","$147,500.00 ","$151,833.00 ","$149,333.00 ","$144,333.00 ","$140,167.00 ","$139,833.00 ","$139,667.00 ","$134,500.00 ","$128,133.00 ","$123,300.00 ","$128,300.00 ","$136,300.00 ","$144,700.00 ","$148,033.00 ","$149,067.00 ","$147,708.00 ","$147,292.00 ","$149,958.00 ","$147,917.00 ","$145,317.00 ","$140,300.00 ","$141,633.00 ","$143,650.00 ","$147,000.00 ","$154,083.00 ","$157,500.00 ","$159,167.00 ","$152,417.00 ","$148,333.00 ","$148,833.00 ","$152,167.00 "
"North Port-Sarasota-Bradenton, FL","$255,000.00 ","$255,000.00 ","$252,250.00 ","$254,583.00 ","$257,917.00 ","$260,667.00 ","$263,333.00 ","$265,667.00 ","$267,300.00 ","$270,827.00 ","$272,993.00 ","$276,360.00 ","$276,167.00 ","$275,000.00 ","$271,000.00 ","$269,000.00 ","$269,000.00 ","$269,833.00 ","$271,833.00 ","$271,833.00 ","$270,833.00 ","$267,500.00 ","$269,167.00 ","$273,382.00 ","$275,045.00 ","$274,799.00 ","$273,084.00 ","$274,754.00 ","$280,000.00 ","$282,883.00 ","$283,883.00 ","$281,529.00 ","$281,979.00 ","$280,979.00 ","$282,000.00 ","$285,000.00 "
"Little Rock, AR","$162,467.00 ","$167,467.00 ","$165,133.00 ","$167,167.00 ","$163,833.00 ","$170,300.00 ","$167,633.00 ","$167,300.00 ","$160,117.00 ","$159,083.00 ","$157,750.00 ","$156,633.00 ","$156,317.00 ","$155,318.00 ","$155,985.00 ","$158,668.00 ","$161,667.00 ","$166,333.00 ","$168,333.00 ","$165,500.00 ","$161,833.00 ","$159,167.00 ","$161,633.00 ","$162,600.00 ","$162,767.00 ","$160,967.00 ","$161,000.00 ","$162,500.00 ","$166,917.00 ","$170,817.00 ","$172,483.00 ","$172,467.00 ","$170,200.00 ","$168,533.00 ","$169,300.00 ","$169,000.00 "
"Stockton, CA","$328,727.00 ","$332,060.00 ","$335,833.00 ","$343,667.00 ","$347,000.00 ","$347,833.00 ","$351,667.00 ","$358,333.00 ","$363,667.00 ","$361,833.00 ","$365,167.00 ","$367,667.00 ","$371,167.00 ","$374,000.00 ","$381,167.00 ","$386,167.00 ","$385,000.00 ","$381,417.00 ","$379,750.00 ","$384,750.00 ","$383,333.00 ","$384,500.00 ","$383,500.00 ","$390,167.00 ","$395,833.00 ","$403,167.00 ","$403,500.00 ","$405,667.00 ","$396,833.00 ","$396,500.00 ","$390,833.00 ","$398,333.00 ","$398,333.00 ","$401,667.00 ","$402,833.00 ","$409,500.00 "
"Charleston, SC","$247,531.00 ","$247,621.00 ","$249,470.00 ","$254,138.00 ","$259,105.00 ","$263,008.00 ","$266,268.00 ","$262,968.00 ","$259,300.00 ","$257,655.00 ","$259,822.00 ","$268,812.00 ","$269,823.00 ","$270,290.00 ","$266,633.00 ","$267,258.00 ","$271,458.00 ","$273,872.00 ","$274,247.00 ","$273,414.00 ","$274,333.00 ","$274,333.00 ","$277,351.00 ","$278,754.00 ","$278,004.00 ","$277,286.00 ","$275,217.00 ","$279,883.00 ","$282,433.00 ","$287,267.00 ","$289,350.00 ","$290,167.00 ","$289,333.00 ","$288,330.00 ","$283,330.00 ","$281,671.00 "
"Syracuse, NY","$126,667.00 ","$123,000.00 ","$120,000.00 ","$120,583.00 ","$125,917.00 ","$133,883.00 ","$139,333.00 ","$139,333.00 ","$138,325.00 ","$135,908.00 ","$135,875.00 ","$135,408.00 ","$131,124.00 ","$128,991.00 ","$125,500.00 ","$128,750.00 ","$132,717.00 ","$140,925.00 ","$144,407.00 ","$146,941.00 ","$145,174.00 ","$142,441.00 ","$140,741.00 ","$139,300.00 ","$137,633.00 ","$134,833.00 ","$132,333.00 ","$135,417.00 ","$138,917.00 ","$147,083.00 ","$152,333.00 ","$154,000.00 ","$152,500.00 ","$151,011.00 ","$149,677.00 ","$149,511.00 "
"Colorado Springs, CO","$266,500.00 ","$268,357.00 ","$270,157.00 ","$273,390.00 ","$278,533.00 ","$283,567.00 ","$281,333.00 ","$281,417.00 ","$278,750.00 ","$279,790.00 ","$282,706.00 ","$285,373.00 ","$288,300.00 ","$291,617.00 ","$296,283.00 ","$301,667.00 ","$306,350.00 ","$313,350.00 ","$315,690.00 ","$315,190.00 ","$311,523.00 ","$307,831.00 ","$305,189.00 ","$303,856.00 ","$303,525.00 ","$306,267.00 ","$308,933.00 ","$317,933.00 ","$321,694.00 ","$327,361.00 ","$326,361.00 ","$327,583.00 ","$327,583.00 ","$330,917.00 ","$330,333.00 ","$330,983.00 "
"Winston-Salem, NC","$145,583.00 ","$142,500.00 ","$142,667.00 ","$147,000.00 ","$152,750.00 ","$154,417.00 ","$155,167.00 ","$155,917.00 ","$155,003.00 ","$153,253.00 ","$150,170.00 ","$150,333.00 ","$151,333.00 ","$151,917.00 ","$152,167.00 ","$153,167.00 ","$158,833.00 ","$161,500.00 ","$161,500.00 ","$160,833.00 ","$161,333.00 ","$163,000.00 ","$163,000.00 ","$167,000.00 ","$167,833.00 ","$164,917.00 ","$163,000.00 ","$164,833.00 ","$172,750.00 ","$174,833.00 ","$179,167.00 ","$177,500.00 ","$176,333.00 ","$172,333.00 ","$174,500.00 ","$178,833.00 "
"Wichita, KS","$141,833.00 ","$140,633.00 ","$134,467.00 ","$133,133.00 ","$138,133.00 ","$145,617.00 ","$149,917.00 ","$149,950.00 ","$148,400.00 ","$146,733.00 ","$142,817.00 ","$141,017.00 ","$139,550.00 ","$139,700.00 ","$138,067.00 ","$139,567.00 ","$143,333.00 ","$150,000.00 ","$150,000.00 ","$151,317.00 ","$149,617.00 ","$151,250.00 ","$148,933.00 ","$146,887.00 ","$146,087.00 ","$146,254.00 ","$148,333.00 ","$149,133.00 ","$153,967.00 ","$158,967.00 ","$166,000.00 ","$163,000.00 ","$158,275.00 ","$152,025.00 ","$154,358.00 ","$155,000.00 "
"Springfield, MA","$194,964.00 ","$193,300.00 ","$192,550.00 ","$192,217.00 ","$194,250.00 ","$201,417.00 ","$209,667.00 ","$214,317.00 ","$213,683.00 ","$209,117.00 ","$211,300.00 ","$207,183.00 ","$205,400.00 ","$198,733.00 ","$198,733.00 ","$202,167.00 ","$208,333.00 ","$218,300.00 ","$221,633.00 ","$223,633.00 ","$218,667.00 ","$218,667.00 ","$218,333.00 ","$218,333.00 ","$211,333.00 ","$204,000.00 ","$200,667.00 ","$204,750.00 ","$213,750.00 ","$220,983.00 ","$228,800.00 ","$230,708.00 ","$229,975.00 ","$228,408.00 ","$226,500.00 ","$226,667.00 "
"Fort Myers, FL","$218,262.00 ","$217,562.00 ","$218,629.00 ","$221,033.00 ","$224,567.00 ","$223,500.00 ","$221,000.00 ","$219,464.00 ","$219,464.00 ","$217,964.00 ","$217,233.00 ","$218,233.00 ","$220,733.00 ","$224,500.00 ","$227,183.00 ","$232,350.00 ","$233,017.00 ","$232,667.00 ","$231,667.00 ","$232,333.00 ","$230,667.00 ","$228,000.00 ","$227,333.00 ","$230,333.00 ","$233,000.00 ","$233,500.00 ","$232,833.00 ","$232,833.00 ","$236,800.00 ","$239,467.00 ","$239,467.00 ","$235,970.00 ","$234,303.00 ","$234,595.00 ","$236,112.00 ","$237,778.00 "
"Boise City, ID","$219,782.00 ","$221,777.00 ","$223,092.00 ","$225,648.00 ","$227,315.00 ","$231,663.00 ","$236,663.00 ","$241,663.00 ","$241,697.00 ","$242,609.00 ","$239,875.00 ","$243,145.00 ","$246,900.00 ","$252,383.00 ","$259,050.00 ","$261,050.00 ","$265,950.00 ","$270,950.00 ","$278,950.00 ","$284,050.00 ","$282,083.00 ","$280,717.00 ","$279,382.00 ","$278,382.00 ","$277,248.00 ","$279,133.00 ","$281,433.00 ","$287,997.00 ","$293,513.00 ","$301,547.00 ","$304,450.00 ","$305,633.00 ","$304,133.00 ","$303,363.00 ","$306,363.00 ","$306,530.00 "
"Toledo, OH","$113,304.00 ","$112,471.00 ","$109,250.00 ","$111,250.00 ","$117,917.00 ","$126,300.00 ","$129,600.00 ","$128,600.00 ","$124,633.00 ","$120,667.00 ","$115,000.00 ","$113,228.00 ","$108,228.00 ","$107,228.00 ","$108,333.00 ","$114,483.00 ","$121,150.00 ","$126,150.00 ","$130,667.00 ","$130,833.00 ","$132,500.00 ","$125,800.00 ","$123,300.00 ","$116,933.00 ","$114,967.00 ","$114,967.00 ","$118,000.00 ","$122,567.00 ","$128,400.00 ","$130,067.00 ","$134,150.00 ","$132,400.00 ","$137,400.00 ","$134,050.00 ","$133,800.00 ","$128,800.00 "
"Madison, WI","$228,167.00 ","$228,533.00 ","$231,867.00 ","$240,700.00 ","$243,000.00 ","$249,667.00 ","$250,667.00 ","$257,500.00 ","$252,841.00 ","$252,158.00 ","$247,158.00 ","$243,787.00 ","$244,970.00 ","$244,120.00 ","$252,150.00 ","$251,700.00 ","$257,383.00 ","$262,350.00 ","$269,967.00 ","$270,633.00 ","$263,167.00 ","$258,833.00 ","$255,833.00 ","$258,333.00 ","$260,667.00 ","$259,667.00 ","$259,633.00 ","$260,383.00 ","$268,217.00 ","$277,667.00 ","$279,583.00 ","$279,558.00 ","$271,808.00 ","$268,974.00 ","$269,333.00 ","$269,333.00 "
"Lakeland, FL","$169,883.00 ","$167,600.00 ","$167,133.00 ","$167,467.00 ","$170,583.00 ","$175,083.00 ","$178,000.00 ","$179,250.00 ","$178,583.00 ","$179,000.00 ","$180,000.00 ","$181,667.00 ","$184,650.00 ","$186,317.00 ","$186,317.00 ","$185,000.00 ","$185,967.00 ","$188,633.00 ","$190,297.00 ","$193,997.00 ","$194,897.00 ","$196,719.00 ","$196,216.00 ","$197,983.00 ","$199,463.00 ","$199,783.00 ","$199,450.00 ","$200,366.00 ","$202,546.00 ","$205,879.00 ","$208,297.00 ","$209,967.00 ","$210,967.00 ","$212,667.00 ","$215,333.00 ","$215,997.00 "
"Ogden, UT","$222,742.00 ","$223,442.00 ","$224,108.00 ","$226,000.00 ","$230,800.00 ","$238,683.00 ","$246,150.00 ","$249,450.00 ","$247,233.00 ","$244,267.00 ","$241,000.00 ","$243,333.00 ","$244,617.00 ","$246,283.00 ","$248,283.00 ","$252,667.00 ","$259,333.00 ","$266,483.00 ","$271,150.00 ","$272,808.00 ","$269,908.00 ","$269,208.00 ","$270,883.00 ","$271,633.00 ","$267,600.00 ","$267,850.00 ","$267,817.00 ","$275,217.00 ","$279,950.00 ","$289,150.00 ","$292,817.00 ","$294,533.00 ","$291,742.00 ","$294,708.00 ","$294,675.00 ","$296,967.00 "
"Daytona Beach, FL","$174,667.00 ","$173,000.00 ","$174,667.00 ","$178,333.00 ","$181,633.00 ","$185,633.00 ","$188,967.00 ","$192,233.00 ","$192,733.00 ","$193,067.00 ","$192,133.00 ","$193,300.00 ","$192,633.00 ","$195,333.00 ","$195,333.00 ","$200,667.00 ","$201,667.00 ","$205,000.00 ","$205,000.00 ","$208,167.00 ","$210,833.00 ","$211,800.00 ","$212,633.00 ","$213,967.00 ","$215,667.00 ","$216,333.00 ","$215,057.00 ","$215,723.00 ","$218,057.00 ","$223,000.00 ","$226,333.00 ","$225,667.00 ","$225,333.00 ","$225,663.00 ","$227,327.00 ","$227,627.00 "
"Des Moines, IA","$181,667.00 ","$179,333.00 ","$177,867.00 ","$178,533.00 ","$185,200.00 ","$193,000.00 ","$196,333.00 ","$197,000.00 ","$194,000.00 ","$197,000.00 ","$195,333.00 ","$197,000.00 ","$192,333.00 ","$195,333.00 ","$195,300.00 ","$198,633.00 ","$199,300.00 ","$206,000.00 ","$209,333.00 ","$210,667.00 ","$208,333.00 ","$204,583.00 ","$203,917.00 ","$199,400.00 ","$199,483.00 ","$195,150.00 ","$202,000.00 ","$207,333.00 ","$213,333.00 ","$217,333.00 ","$218,417.00 ","$223,417.00 ","$219,750.00 ","$217,750.00 ","$215,771.00 ","$217,431.00 "
"Provo, UT","$258,300.00 ","$261,633.00 ","$262,550.00 ","$266,584.00 ","$269,917.00 ","$272,460.00 ","$274,960.00 ","$275,432.00 ","$276,970.00 ","$277,470.00 ","$278,665.00 ","$279,333.00 ","$279,000.00 ","$285,667.00 ","$288,333.00 ","$293,333.00 ","$295,100.00 ","$301,433.00 ","$307,267.00 ","$307,167.00 ","$306,767.00 ","$304,267.00 ","$304,933.00 ","$307,333.00 ","$306,792.00 ","$307,292.00 ","$306,292.00 ","$310,500.00 ","$316,000.00 ","$322,525.00 ","$325,275.00 ","$326,788.00 ","$327,930.00 ","$331,512.00 ","$332,330.00 ","$333,997.00 "
"Durham, NC","$237,667.00 ","$240,750.00 ","$238,583.00 ","$244,733.00 ","$247,317.00 ","$256,983.00 ","$262,667.00 ","$265,000.00 ","$259,167.00 ","$258,333.00 ","$262,167.00 ","$268,500.00 ","$263,500.00 ","$261,333.00 ","$263,667.00 ","$270,917.00 ","$274,250.00 ","$275,583.00 ","$276,667.00 ","$278,333.00 ","$275,333.00 ","$275,333.00 ","$277,000.00 ","$286,667.00 ","$283,333.00 ","$281,333.00 ","$276,667.00 ","$284,250.00 ","$287,917.00 ","$289,917.00 ","$290,333.00 ","$287,167.00 ","$285,205.00 ","$284,538.00 ","$291,705.00 ","$296,333.00 "
"Fort Collins, CO","$342,650.00 ","$345,783.00 ","$345,783.00 ","$347,633.00 ","$348,333.00 ","$351,650.00 ","$354,983.00 ","$355,845.00 ","$350,331.00 ","$353,138.00 ","$355,776.00 ","$362,973.00 ","$366,617.00 ","$369,783.00 ","$376,142.00 ","$377,108.00 ","$383,775.00 ","$384,896.00 ","$385,812.00 ","$381,962.00 ","$381,517.00 ","$381,517.00 ","$385,367.00 ","$384,250.00 ","$386,900.00 ","$385,233.00 ","$388,967.00 ","$388,133.00 ","$393,133.00 ","$395,225.00 ","$396,708.00 ","$395,042.00 ","$391,633.00 ","$389,167.00 ","$385,833.00 ","$386,667.00 "
