RegionName,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019
"Rochester, NY","$136,500.00 ","$134,458.00 ","$133,250.00 ","$134,167.00 ","$138,583.00 ","$142,625.00 ","$147,292.00 ","$148,633.00 ","$146,300.00 ","$143,267.00 ","$137,467.00 ","$136,467.00 ","$133,500.00 ","$134,000.00 ","$134,967.00 ","$137,933.00 ","$144,933.00 ","$149,967.00 ","$156,429.00 ","$156,179.00 ","$153,596.00 ","$149,833.00 ","$146,750.00 ","$145,600.00 ","$142,900.00 ","$141,133.00 ","$140,367.00 ","$142,067.00 ","$147,167.00 ","$155,000.00 ","$161,633.00 ","$164,300.00 ","$162,467.00 ","$157,500.00 ","$154,133.00 ","$152,617.00 "
"Grand Rapids, MI","$162,167.00 ","$161,667.00 ","$164,667.00 ","$171,000.00 ","$177,000.00 ","$181,000.00 ","$181,667.00 ","$181,667.00 ","$181,000.00 ","$179,083.00 ","$178,083.00 ","$175,983.00 ","$177,900.00 ","$176,567.00 ","$180,233.00 ","$183,067.00 ","$189,567.00 ","$194,167.00 ","$197,333.00 ","$198,833.00 ","$198,500.00 ","$197,067.00 ","$193,700.00 ","$190,867.00 ","$189,967.00 ","$190,750.00 ","$194,083.00 ","$200,417.00 ","$208,300.00 ","$213,633.00 ","$215,300.00 ","$215,000.00 ","$213,333.00 ","$212,000.00 ","$208,667.00 ","$208,167.00 "
"Tucson, AZ","$186,167.00 ","$188,000.00 ","$190,667.00 ","$194,000.00 ","$196,000.00 ","$200,000.00 ","$201,667.00 ","$200,000.00 ","$201,167.00 ","$202,167.00 ","$205,833.00 ","$206,000.00 ","$203,833.00 ","$201,833.00 ","$199,917.00 ","$204,383.00 ","$207,717.00 ","$208,967.00 ","$209,000.00 ","$210,667.00 ","$213,000.00 ","$213,841.00 ","$216,508.00 ","$216,841.00 ","$219,150.00 ","$216,483.00 ","$217,317.00 ","$217,167.00 ","$222,167.00 ","$226,167.00 ","$229,868.00 ","$228,202.00 ","$227,702.00 ","$228,237.00 ","$226,903.00 ","$229,570.00 "
"Urban Honolulu, HI","$579,067.00 ","$566,067.00 ","$554,197.00 ","$548,030.00 ","$549,697.00 ","$569,833.00 ","$583,373.00 ","$586,706.00 ","$586,873.00 ","$600,000.00 ","$610,667.00 ","$609,000.00 ","$590,650.00 ","$574,983.00 ","$560,650.00 ","$551,500.00 ","$561,500.00 ","$567,500.00 ","$578,583.00 ","$576,917.00 ","$578,583.00 ","$580,167.00 ","$579,167.00 ","$570,500.00 ","$575,333.00 ","$569,000.00 ","$583,833.00 ","$577,167.00 ","$581,167.00 ","$586,333.00 ","$603,000.00 ","$609,667.00 ","$603,333.00 ","$588,333.00 ","$581,583.00 ","$583,250.00 "
"Tulsa, OK","$155,167.00 ","$153,500.00 ","$152,809.00 ","$153,809.00 ","$158,642.00 ","$161,167.00 ","$164,794.00 ","$164,044.00 ","$163,378.00 ","$160,750.00 ","$161,167.00 ","$161,167.00 ","$161,167.00 ","$160,333.00 ","$161,008.00 ","$162,091.00 ","$164,424.00 ","$166,250.00 ","$167,167.00 ","$167,500.00 ","$166,667.00 ","$166,917.00 ","$166,833.00 ","$165,167.00 ","$163,917.00 ","$161,000.00 ","$162,667.00 ","$165,000.00 ","$171,666.00 ","$177,333.00 ","$180,633.00 ","$178,050.00 ","$174,383.00 ","$171,083.00 ","$170,667.00 ","$173,567.00 "
"Fresno, CA","$244,000.00 ","$240,333.00 ","$242,000.00 ","$244,000.00 ","$249,167.00 ","$252,833.00 ","$259,500.00 ","$263,750.00 ","$266,750.00 ","$265,750.00 ","$267,333.00 ","$268,333.00 ","$266,000.00 ","$268,667.00 ","$267,000.00 ","$270,333.00 ","$269,333.00 ","$272,333.00 ","$275,667.00 ","$276,000.00 ","$273,667.00 ","$273,667.00 ","$273,333.00 ","$275,000.00 ","$273,667.00 ","$273,667.00 ","$278,667.00 ","$280,000.00 ","$282,667.00 ","$281,000.00 ","$284,333.00 ","$284,667.00 ","$288,500.00 ","$290,167.00 ","$293,250.00 ","$292,750.00 "
"Worcester, MA","$236,383.00 ","$238,267.00 ","$236,600.00 ","$243,267.00 ","$249,967.00 ","$259,967.00 ","$265,000.00 ","$269,750.00 ","$263,083.00 ","$260,500.00 ","$255,442.00 ","$258,275.00 ","$255,858.00 ","$250,317.00 ","$247,483.00 ","$249,517.00 ","$257,700.00 ","$271,017.00 ","$278,983.00 ","$281,650.00 ","$277,000.00 ","$268,667.00 ","$265,333.00 ","$260,000.00 ","$261,633.00 ","$256,600.00 ","$255,767.00 ","$257,467.00 ","$267,167.00 ","$277,167.00 ","$283,833.00 ","$287,500.00 ","$285,000.00 ","$283,333.00 ","$280,833.00 ","$282,500.00 "
"Stamford, CT","$395,000.00 ","$391,667.00 ","$388,333.00 ","$391,667.00 ","$409,333.00 ","$430,167.00 ","$429,333.00 ","$426,667.00 ","$420,833.00 ","$405,000.00 ","$396,667.00 ","$390,167.00 ","$398,083.00 ","$396,500.00 ","$386,000.00 ","$388,417.00 ","$395,500.00 ","$423,833.00 ","$438,500.00 ","$444,667.00 ","$418,333.00 ","$391,667.00 ","$378,300.00 ","$384,967.00 ","$391,633.00 ","$378,333.00 ","$368,333.00 ","$368,333.00 ","$389,233.00 ","$412,567.00 ","$427,567.00 ","$431,650.00 ","$416,817.00 ","$390,733.00 ","$378,417.00 ","$375,750.00 "
"Albuquerque, NM","$182,250.00 ","$182,750.00 ","$183,083.00 ","$185,583.00 ","$189,000.00 ","$191,900.00 ","$193,567.00 ","$194,567.00 ","$194,667.00 ","$192,967.00 ","$193,300.00 ","$189,967.00 ","$187,333.00 ","$185,667.00 ","$188,167.00 ","$195,583.00 ","$198,943.00 ","$203,110.00 ","$203,360.00 ","$205,000.00 ","$201,667.00 ","$198,333.00 ","$196,667.00 ","$198,333.00 ","$199,582.00 ","$199,582.00 ","$200,607.00 ","$205,525.00 ","$212,775.00 ","$220,083.00 ","$223,583.00 ","$223,000.00 ","$219,666.00 ","$219,000.00 ","$218,167.00 ","$219,733.00 "
"Albany, NY","$180,920.00 ","$178,170.00 ","$175,067.00 ","$176,250.00 ","$176,332.00 ","$181,998.00 ","$186,998.00 ","$193,333.00 ","$192,000.00 ","$188,250.00 ","$185,000.00 ","$183,833.00 ","$180,917.00 ","$179,167.00 ","$181,650.00 ","$190,150.00 ","$194,900.00 ","$198,250.00 ","$198,083.00 ","$201,667.00 ","$200,000.00 ","$196,483.00 ","$194,817.00 ","$190,150.00 ","$191,333.00 ","$188,000.00 ","$192,667.00 ","$190,867.00 ","$191,200.00 ","$195,867.00 ","$203,333.00 ","$207,500.00 ","$206,133.00 ","$202,800.00 ","$199,967.00 ","$199,750.00 "
