RegionName,Year,AverageMedian,City,State
"North Port-Sarasota-Bradenton, FL",2021,"$337,085.00 ",North Port-Sarasota-Bradenton, FL
"Little Rock, AR",2021,"$193,413.00 ",Little Rock, AR
"Stockton, CA",2021,"$482,439.00 ",Stockton, CA
"Charleston, SC",2021,"$341,061.00 ",Charleston, SC
"Syracuse, NY",2021,"$164,077.00 ",Syracuse, NY
"Colorado Springs, CO",2021,"$410,242.00 ",Colorado Springs, CO
"Winston-Salem, NC",2021,"$185,654.00 ",Winston-Salem, NC
"Wichita, KS",2021,"$190,451.00 ",Wichita, KS
"Springfield, MA",2021,"$256,535.00 ",Springfield, MA
"Fort Myers, FL",2021,"$253,495.00 ",Fort Myers, FL
"Boise City, ID",2021,"$433,666.00 ",Boise City, ID
"Toledo, OH",2021,"$145,436.00 ",Toledo, OH
"Madison, WI",2021,"$316,988.00 ",Madison, WI
"Lakeland, FL",2021,"$243,558.00 ",Lakeland, FL
"Ogden, UT",2021,"$376,632.00 ",Ogden, UT
"Daytona Beach, FL",2021,"$265,778.00 ",Daytona Beach, FL
"Des Moines, IA",2021,"$242,528.00 ",Des Moines, IA
"Provo, UT",2021,"$421,636.00 ",Provo, UT
"Durham, NC",2021,"$338,338.00 ",Durham, NC
"Fort Collins, CO",2021,"$443,385.00 ",Fort Collins, CO
